Job ID,Job Title,Company Name,Job Location,Job Description,Classification
be5589a675f97d57,Software Developer,BuziBrains,"BuziBrainsBengaluru, Karnataka",N/A,Fake
4dfee2330007b9df,Software Developer (Intern),Commud Networks,"Commud NetworksBengaluru, Karnataka",N/A,Fake
cf49d70d603d679e,"Software Engineer, University Graduate, 2025",Google,"GoogleBengaluru, Karnataka",N/A,Fake
0e69ab7524304b55,Software Developer/Programmer,Acrebook Realty Solutions,"Acrebook Realty SolutionsRemote in Bangalore Rural District, Karnataka",N/A,Fake
91e06e3a67147f06,Software Development Engineer,Accenture,"AccentureBengaluru, Karnataka",N/A,Fake
450495c4ad8d34f4,Quantexa Software Engineer,NatWest,"NatWestBengaluru, Karnataka",N/A,Fake
f0e0d67f7cd2b311,Junior Software Engineer,Wesucceed Solutions,"Wesucceed SolutionsRichmond Town, Bengaluru, Karnataka",N/A,Fake
939fe55a99283a83,Software Developer,Oracle,"OracleBengaluru, Karnataka",N/A,Fake
a70db585cc606f26,Trainee Software Developer,Star Knowledge,"Star KnowledgeMysuru, Karnataka",N/A,Fake
d32b482a3cd03a68,Junior MERN Stack Developer,Hutech Solutions,"Hutech SolutionsHSR Layout, Bengaluru, Karnataka",N/A,Fake
495e47bb7619b62f,Software Engineer- Frontend,Zeitview,"ZeitviewBengaluru, Karnataka",N/A,Fake
a7b47241dc2eb25c,Full Stack Developer,TTAND Technology LLP,"TTAND Technology LLPBengaluru, Karnataka",N/A,Fake
